id,title,problem,severity,enabled,reportOnly,params,in_default,default_enabled
102,Sin salida en A (slow),El segmento no tiene ningún giro de salida habilitado en el punto de unión A,W,true,false,,true,true
103,Sin salida en B (slow),El segmento no tiene ningún giro de salida habilitado en el punto de unión B,W,true,false,,true,true
104,Vía férrea usada para comentarios,El segmento de vía férrea es probablemente usado como comentario de mapa,N,true,false,,true,true
107,Sin conexión en punto de unión A (slow),El punto de unión A del segmento está a menos de 5 metros de otro segmento pero no está conectado,E,true,false,,true,true
108,Sin conexión en punto de unión B (slow),El punto de unión B del segmento está a menos de 5 metros de otro segmento pero no está conectado,E,true,false,,true,true
109,Segmento muy corto,El segmento tiene menos de 2 metros de longitud así que es difícil de ver en el mapa,W,true,false,n=5 | n.title={number} minimum segment length,true,true
112,Más de 55 caracteres en el nombre de la Rampa,El nombre de la Rampa tiene más de 55 caracteres,W,true,false,n=55 | n.title={number} maximum Ramp name length,true,true
114,No transitable conectada a transitable en el punto de unión A (slow),El segmento no transitable tiene un punto de unión con un segmento transitable en el extremo A,W,false,false,,true,false
115,No transitable conectada a transitable en el punto de unión B (slow),El segmento no transitable tiene un punto de unión con un segmento transitable en el extremo B,W,false,false,,true,false
116,Elevación fuera de rango,La elevación del segmento está fuera de rango,W,true,false,,true,true
117,Marcado obsoleto: CONST ZN,El segmento está marcado con el sufijo obsoleto CONST ZN,W,false,false,,true,true
118,Segmentos superpuestos en A (slow),El segmento se solapa con el segmento adyacente en el punto de unión A,E,true,false,,true,true
119,Segmentos superpuestos en B (slow),El segmento se solapa con el segmento adyacente en el punto de unión B,E,true,false,,true,true
120,Giro demasiado cerrado en A (slow),El segmento tiene un giro demasiado cerrado en el punto de unión A,W,true,false,,true,true
121,Giro demasiado cerrado en B (slow),El segmento tiene un giro demasiado cerrado en el punto de unión B,W,true,false,,true,true
128,Comprobación personalizada por el usuario 1,Alguna de las propiedades del segmento coinciden con la expresión regular definida por el usuario (ver Ajustes→Personalización),1,true,false,,true,true
129,Comprobación personalizada por el usuario 2,Alguna de las propiedades del segmento coinciden con la expresión regular definida por el usuario (ver Ajustes→Personalización),2,true,false,,true,true
130,Nivel de bloqueo de Autopista incorrecto,El segmento de Autopista no está bloqueado a nivel 4,N,true,false,"titleEN=No lock on Freeway | problemEN=The Freeway segment should be locked to Lvl 4 | solutionEN=Lock the segment | template=${type}:${lock} | regexp=/^3:[^4]/",false,-
131,No lock on Major Highway,The Major Highway segment should be locked to Lvl 3,N,true,false,"titleEN=No lock on Major Highway | problemEN=The Major Highway segment should be locked to Lvl 3 | solutionEN=Lock the segment | template=${type}:${lock}:${street} | regexp=/^6:[^3]:N\\-/",false,-
133,No lock on Ramp,The Ramp segment should be locked to Lvl 3,N,true,false,"titleEN=No lock on Ramp | problemEN=The Ramp segment should be locked to Lvl 3 | solutionEN=Lock the segment | template=${type}:${lock} | regexp=/^4:[^3]/",false,-
150,Nivel de bloqueo de Autopista incorrecto,El segmento de Autopista no está bloqueado a nivel ${n},N,false,false,,false,-
169,Calle nombrada incorrectamente,"La calle tiene el nombre incorrecto, usando caracteres o palabras ilegales",W,false,false,"regexp=!/^[a-zA-Z0-9\\. :""'(/)-]+$/ | regexp.title={string} regular expression to match incorrect street name",true,false
170,Nombre de calle comienza con minúscula,El nombre de la calle comienza con minúscula,W,true,false,regexp=/^[a-zа-яёіїєґ]/ | regexp.title={string} regular expression to match a lowercase name,true,false
172,Nombre de calle con espacios innecesarios,Espacio en blanco inicial/final o doble en el nombre de la calle,N,true,false,regexp=/^\\s|\\s$|\\s\\s/,true,true
173,Nombre de segmento sin espacio antes o después de una abreviación,"Sin espacio antes ('1943r.') o después ('St.Jan') de una abreviación en el nombre del segmento",W,false,false,"regexp=/([^\\s]\\.[^\\s0-9-][^\\s0-9\\.])|([0-9][^\\s0-9]+\\.[^0-9-])/",true,true
175,Nombre del segmento sólo con espacios,El nombre del segmento sólo tiene espacios en blanco en el nombre,W,true,false,regexp=/^[\\s\\.]*$/,true,true
190,Nombre de ciudad con minúscula,El nombre de la ciudad comienza con minúscula,W,true,false,regexp=/^[a-zа-яёіїєґ]/ | regexp.title={string} regular expression to match a lowercase city name,true,true
192,Nombre de Ciudad con espacios innecesarios,Espacio en blanco inicial/final o doble en el nombre de la ciudad,N,true,false,regexp=/^\\s|\\s$|\\s\\s/,true,true
193,Nombre de Ciudad sin espacio delante o atrás de una abreviación,"Sin espacio antes ('1943r.') o después ('St.Jean') de una abreviación en el nombre de la ciudad",N,false,false,"regexp=/([^\\s]\\.[^\\s0-9-][^\\s0-9\\.])|([0-9][^\\s0-9]+\\.[^0-9-])/",true,true
200,Unión A: Giro suave (implícito) en segmento,El segmento tiene un giro no confirmado,N,true,false,,true,true
201,Unión A: Giro suave (implícito) en segmento principal,El segmento principal tiene un giro no confirmado,W,true,false,,true,true
