id,title,problem,severity,enabled,reportOnly,params
128,User-defined custom check (green),Some of the segment properties matched against the user-defined regular expression (see Settings→Custom),1,true,false,
129,User-defined custom check (blue),Some of the segment properties matched against the user-defined regular expression (see Settings→Custom),2,true,false,
169,Incorrectly named street,"The street named incorrectly, illegal chars or words used",W,false,false,"regexp=!/^[a-zA-Z0-9\\. :""'(/)-]+$/ | regexp.title={string} regular expression to match incorrect street name"
170,Lowercase street name,The street name starts with a lowercase word,W,false,false,regexp=/^[a-zа-яёіїєґ]/ | regexp.title={string} regular expression to match a lowercase name
171,Incorrectly abbreviated street name,The street name has incorrect abbreviation,W,false,false,regexp=/\\.$/ | regexp.title={string} regular expression to match incorrect abbreviations
172,Unneeded spaces in street name,Leading/trailing/double space in the street name,N,true,false,regexp=/^\\s|\\s$|\\s\\s/
173,No space before/after street abbreviation,"No space before ('1943r.') or after ('st.Jan') an abbreviation in the street name",W,true,false,"regexp=/([^\\s]\\.[^\\s0-9-][^\\s0-9\\.])|([0-9][^\\s0-9]+\\.[^0-9-])/"
174,Street name spelling mistake,There is a spelling mistake in the street name,W,false,false,"regexp=/(^|\\b)(accross|cemetary|fourty|foward|goverment|independant|liason|pavillion|portugese|posession|prefered|shcool|wat|wich)($|\\b)/i | regexp.title={string} regular expression to match spelling mistakes"
175,Empty street name,The street name has only space characters or a dot,W,true,false,regexp=/^[\\s\\.]*$/
190,Lowercase city name,The city name starts with a lowercase letter,W,true,false,regexp=/^[a-zа-яёіїєґ]/ | regexp.title={string} regular expression to match a lowercase city name
191,Incorrectly abbreviated city name,The city name has incorrect abbreviation,W,false,false,regexp=/\\./ | regexp.title={string} regular expression to match incorrect abbreviations
192,Unneeded spaces in city name,Leading/trailing/double space in the city name,N,true,false,regexp=/^\\s|\\s$|\\s\\s/
193,No space before/after city abbreviation,"No space before ('1943r.') or after ('st.Jan') an abbreviation in the city name",N,true,false,"regexp=/([^\\s]\\.[^\\s0-9-][^\\s0-9\\.])|([0-9][^\\s0-9]+\\.[^0-9-])/"
200,Node A: Unconfirmed turn on minor road,The minor drivable segment has an unconfirmed (soft) turn at node A,N,true,false,
201,Node A: Unconfirmed turn on primary road,The primary segment has an unconfirmed (soft) turn at node A,W,true,false,
202,BETA: No public connection for public segment (slow),The public segment is not connected to any other public segment,W,true,false,
210,Segment has unverified speed limits from A to B,Segment has speed limit set from A to B that is unverified,N,true,false,
211,Segment has unverified speed limits from B to A,Segment has speed limit set from B to A that is unverified,N,true,false,
212,Segment has no speed limit set from A to B,Segment has no speed limit set from A to B,N,true,false,
213,Segment has no speed limit set from B to A,Segment has no speed limit set from B to A,N,true,false,
214,Segment has possibly wrong speed limit from A to B,Segment has a speed limit that seems to be incorrect,N,true,false,regexp=/^.+[05]$/ | regexp.title={string} regular expression to match valid speed limits
215,Segment has possibly wrong speed limit from B to A,Segment has a speed limit that seems to be incorrect,N,true,false,regexp=/^.+[05]$/ | regexp.title={string} regular expression to match valid speed limits
250,BETA: No city name on Place,The Place has no city name set,N,true,false,regexp=/^(NATURAL_FEATURES|BRIDGE|ISLAND|FOREST_GROVE|SEA_LAKE_POOL|RIVER_STREAM|CANAL|DAM|TUNNEL|JUNCTION_INTERCHANGE)$/ | regexp.title={string} regular expression for categories to exclude from this check
251,BETA: No street name on Place,The Place has no street name set,N,true,false,regexp=/^(NATURAL_FEATURES|BRIDGE|ISLAND|FOREST_GROVE|SEA_LAKE_POOL|RIVER_STREAM|CANAL|DAM|TUNNEL|JUNCTION_INTERCHANGE)$/ | regexp.title={string} regular expression to match categories that should be excepted from this check
252,BETA: Automatically updated Place,The Place was updated automatically by Waze,N,true,false,"regexp=/^waze-maint|^105774162$|^waze3rdparty$|^361008095$|^WazeParking1$|^338475699$|^admin$|^-1$|^avsus$|^107668852$/i | regexp.title={string} regular expression to match Waze bot names and ids"
253,"BETA: Category 'OTHER' should not be used","Users can search on category, and category 'OTHER' doesn't give enough information",N,true,false,
254,BETA: No entry/exit points on Place,The Place entry/exit points are not set,N,true,false,
255,BETA: Invalid phone number,The Place has an invalid phone number,N,true,false,regexp=/.+/ | regexp.title={string} regular expression to match a correct phone number
256,BETA: Invalid website,The Place has an invalid website URL,N,true,false,"regexp=/^(https?://)?[^\\s/$.?#].[^\\s]*$/i | regexp.title={string} regular expression to match a correct website URL"
257,"BETA: Place should be an area place","The Place is set as a point place, but should be an area",N,true,false,"regexp=/^(GAS_STATION|PARKING_LOT|AIRPORT|...)$/ | regexp.title={string} regular expression to match categories that should be an area"
258,"BETA: Place should be a point place","The Place is set as an area place, but should be a point",N,true,false,regexp=/^(GARAGE_AUTOMOTIVE_SHOP|...)$/ | regexp.title={string} regular expression to match categories that should be a point
259,"BETA: No lock on Place","According to the category, the Place should be locked at least to Lvl ${n}",N,true,false,"n=2 | n.title={number} minimum lock level | regexp=/^(PARKING_LOT|CHARGING_STATION)$/ | regexp.title={string} regular expression to match categories that should be locked to {number}"
260,"BETA: No lock on Place","According to the category, the Place should be locked at least to Lvl ${n}",N,true,false,"n=3 | n.title={number} minimum lock level | regexp=/(GAS_STATION|AIRPORT)/ | regexp.title={string} regular expression to match categories that should be locked to {number}"
270,BETA: No type on Parking Lot,The primary Parking Lot type is not set,N,true,false,
271,BETA: No cost on Parking Lot,The Parking Lot cost is not set,N,true,false,
272,BETA: No payment types on Parking Lot,The Parking Lot payment types are not set,N,true,false,
273,BETA: No elevation on Parking Lot,The Parking Lot elevation is not set,N,true,false,
274,BETA: No Parking Lot entry/exit points,The Parking Lot entry/exit points are not set,N,true,false,
275,BETA: No brand on Gas Station,The Gas Station brand is not in its name,N,true,false,
300,Node B: Unconfirmed turn on minor road,The minor drivable segment has an unconfirmed (soft) turn at node B,N,true,false,
301,Node B: Unconfirmed turn on primary road,The primary segment has an unconfirmed (soft) turn at node B,W,true,false,
